sku,Description,price
02-SSC-9357,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 3YR",50577.90
02-SSC-9358,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 4YR",67442.50
02-SSC-9359,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 13700 5YR",84301.80
02-SSC-9345,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 1YR,12486.80
02-SSC-9346,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 2YR,22482.60
02-SSC-9347,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 3YR,33718.60
02-SSC-9348,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 4YR,44954.60
02-SSC-9349,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 13700 5YR,56195.90
02-SSC-9335,24X7 SUPPORT FOR NSSP 13700 1YR,14368.30
02-SSC-9336,24X7 SUPPORT FOR NSSP 13700 2YR,25848.10
02-SSC-9337,24X7 SUPPORT FOR NSSP 13700 3YR,38774.80
02-SSC-9338,24X7 SUPPORT FOR NSSP 13700 4YR,51696.20
02-SSC-9339,24X7 SUPPORT FOR NSSP 13700 5YR,64633.50
02-SSC-9360,STANDARD SUPPORT FOR NSSP 13700 1YR,10615.90
02-SSC-9361,STANDARD SUPPORT FOR NSSP 13700 2YR,19106.50
02-SSC-9362,STANDARD SUPPORT FOR NSSP 13700 3YR,28657.10
02-SSC-9363,STANDARD SUPPORT FOR NSSP 13700 4YR,38218.30
02-SSC-9364,STANDARD SUPPORT FOR NSSP 13700 5YR,47768.90
02-SSC-9375,DNS FILTERING SERVICE FOR NSSP 13700 1YR,10615.90
02-SSC-9376,DNS FILTERING SERVICE FOR NSSP 13700 2YR,19107.56
02-SSC-9377,DNS FILTERING SERVICE FOR NSSP 13700 3YR,30782.40
02-SSC-9378,DNS FILTERING SERVICE FOR NSSP 13700 4YR,38216.18
02-SSC-9379,DNS FILTERING SERVICE FOR NSSP 13700 5YR,47769.96
02-SSC-8399,SONICWALL NSSP 11700,48295.00
02-SSC-1719,SONICWALL NSSP 11700 HIGH AVAILABILITY,48295.00
02-SSC-3680,SONICWALL NSSP 11700 TOTAL SECURE - ADVANCED EDITION 1YR,86710.00
02-SSC-3679,SONICWALL NSSP 11700 TOTAL SECURE - ESSENTIAL EDITION 1YR,82985.00
02-SSC-1553,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 1YR,40953.10
02-SSC-1554,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 2YR,73717.70
02-SSC-1555,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 3YR,104431.20
02-SSC-1556,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 4YR,139241.60
02-SSC-1557,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 11700 5YR,174057.30
02-SSC-1601,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 11700 1YR,37370.30
02-SSC-1602,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 11700 2YR,67262.30
02-SSC-1603,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 11700 3YR,95294.00
02-SSC-1604,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 11700 4YR,127056.90
02-SSC-1605,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 11700 5YR,158825.10
02-SSC-1559,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 11700 1YR,12799.50
02-SSC-1560,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 11700 2YR,23039.10
02-SSC-1561,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 11700 3YR,34550.70
02-SSC-1562,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 11700 4YR,46072.90
02-SSC-1563,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 11700 5YR,57589.80
02-SSC-1571,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 11700 1YR,14336.50
02-SSC-1572,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 11700 2YR,25800.40
02-SSC-1573,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 11700 3YR,38705.90
02-SSC-1574,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 11700 4YR,51600.80
02-SSC-1575,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 11700 5YR,64501.00
02-SSC-1577,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 11700 1YR",15359.40
02-SSC-1578,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 11700 2YR",27639.50
02-SSC-1579,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 11700 3YR",41461.90
02-SSC-1580,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 11700 4YR",55289.60
02-SSC-1581,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 11700 5YR",69112.00
02-SSC-1565,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 11700 1YR,10239.60
02-SSC-1566,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 11700 2YR,18433.40
02-SSC-1567,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 11700 3YR,27639.50
02-SSC-1568,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 11700 4YR,36856.20
02-SSC-1569,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 11700 5YR,46072.90
02-SSC-9996,24X7 SUPPORT FOR NSSP 11700 1YR,11776.60
02-SSC-9997,24X7 SUPPORT FOR NSSP 11700 2YR,21194.70
02-SSC-9998,24X7 SUPPORT FOR NSSP 11700 3YR,31789.40
02-SSC-9999,24X7 SUPPORT FOR NSSP 11700 4YR,42384.10
02-SSC-1551,24X7 SUPPORT FOR NSSP 11700 5YR,52984.10
02-SSC-1583,STANDARD SUPPORT FOR NSSP 11700 1YR,8702.60
02-SSC-1584,STANDARD SUPPORT FOR NSSP 11700 2YR,15666.80
02-SSC-1585,STANDARD SUPPORT FOR NSSP 11700 3YR,23494.90
02-SSC-1586,STANDARD SUPPORT FOR NSSP 11700 4YR,31328.30
02-SSC-1587,STANDARD SUPPORT FOR NSSP 11700 5YR,39161.70
02-SSC-3420,DNS FILTERING SERVICE FOR NSSP 11700 1YR,8702.60
02-SSC-3421,DNS FILTERING SERVICE FOR NSSP 11700 2YR,15664.68
02-SSC-3428,DNS FILTERING SERVICE FOR NSSP 11700 3YR,23497.02
02-SSC-3429,DNS FILTERING SERVICE FOR NSSP 11700 4YR,31330.42
